Славнефть-ЯНОС;JNOS;15722;0,07;3,451;24528819214,9;0;0
Сургутнефтегаз;SNGS;4;-0,05;1,563;1041770005597,8;43044400;2,3
ТГК-1;TGKA;18382;0,3;3,036;57583860763,57;1454700000;2,9
ТМК;TRMK;18441;0,3;1,821;76503673852,3;839450;2,4
ТНСэнрг;TNSE;420644;-0,1;1,759;20570699695;2621;0
Татнефть;TATN;825;0,11;2,039;765374042910;2036330;6
ТрансКонтейнер;TRCN;74561;0,02;1,773;47936984100;42;1,5
Транснефть (ап);TRNFP;1012;0,03;2,435;270237275000;4238;0
Уралкалий;URKA;19623;-0,16;1,102;478130187849,35;222680;0
ФГ БУДУЩЕЕ;FTRE;462599;0,03;0,443;61635600315;2436;0
ФСК ЕЭС;FEES;20509;0,06;2,811;231797888999,01;3596250000;8,7
ФосАгро;PHOR;81114;-0,08;1,424;309893500000;81825;9,5
Энел Россия;ENRU;16440;0,13;1,912;36468427219,47;16261000;6,3
ЧМК;CHMK;21001;0,14;3,687;13928455825;180;0
ЧТПЗ;CHEP;20999;0,44;4,811;62449016736;900;7,9
ЧЦЗ;CHZN;19960;0,11;2,306;29373912220;0;0
Черкизово;GCHE;20125;0,2;2,204;37325243277;913;1,1
ЮТэйр;UTAR;15522;-0,01;1,416;36762925440;17300;0
ЮжКузб;UKUZ;20717;0,01;3,099;29790104025;59;0
Юнипро;UPRO;18584;-0,03;1,339;170672847534,52;21443000;0
Яндекс;YNDX;388383;0,04;1,883;353708602579;62833;0
