Polymetal;POLY;175924;0,14;1,95;299358412056;53283;0
iНПОНаука;NAUK;81992;-0,19;4,721;2499374000;40;0
АВТОВАЗ;AVAZ;39;-0,03;1,824;45615435338,7;271900;0
АЛРОСА;ALRS;81820;-0,11;1,962;676766691740,7;9968400;10,1
АФК Система;AFKS;19715;-0,39;4,575;219103250000;79149500;6
АбрауДюрсо;ABRD;82460;0,6;3,669;13965026220;0;0
Авангард;AVAN;82843;0,97;11,855;37686900000;0;0
Акрон;AKRN;17564;-0,15;1,045;132546180000;6409;8,3
Аптеки 36 и 6;APTK;13855;-0,51;2,025;19693969228,7;750700;0
Аэрофлот;AFLT;29;0,22;2,146;187971808605,75;3282200;9,4
Банк Возрождение;VZRZ;17068;-0,01;0,666;17538410519;51;1
Банк Санкт-Петербург;BSPB;20066;-0,1;2,107;26834771700;43280;1,7
Башнефть;BANE;81757;-0,26;2,897;535204290180;7563;0
ВСМПО-АВИСМА;VSMO;15965;0,04;1,567;160491168960;624;14,7
ВТБ;VTBR;19043;-0,12;0,977;860191128559,12;10719890000;1,8
Варьеган;VJGZ;81954;0,55;6,119;11505945960;0;0
ГАЗПРОМ;GAZP;16842;-0,26;1,269;3026658624265;38326830;6,7
ГМК Норникель;GMKN;795;-0,25;1,421;1406960527116;233230;5,7
Газпромнефть;SIBN;2;-0,11;1,36;965565671482,35;374270;5,4
Галс-Девел;HALS;17698;-0,11;3,575;13236170920;1;0
Группа ПИК;PIKK;18654;0,04;1,423;192072627635,2;180710;0
Детский Мир;DSKY;473181;0,2;1,822;64869420000;218620;3,6
Дикси;DIXY;18564;-0,21;1,485;30177025000;10650;0
Дорогобуж;DGBZ;17919;-0,03;1,422;31603357286;477600;7,4
Европлан;EPLN;451471;0,06;0,851;83951618832;19880;0
ИнтерРАО;IRAO;20516;0,04;2,172;423237600000;55837000;0
Иркутскэнерго;IRGZ;9;0,16;2,045;87041908602;342100;0
КАМАЗ;KMAZ;15544;0,07;1,466;40983952944,05;11100;0,8
Казаньоргсинтез;KZOS;81856;0,45;2,063;102465543600;20400;7,6
КоршГОК;KOGK;20710;0,74;6,699;21410785600;7;0
Кубаньэнерго;KUBE;522;-0,11;2,183;26052154773;790;0
Куйбазот;KAZT;81941;-0,1;2,016;20534779512,3;0;0
ЛСР Группа;LSRG;19736;-0,09;1,187;95869615057,5;20829;8,7
ЛУКОЙЛ;LKOH;8;-0,25;1,447;2540207161057,5;919258;7,1
Лензолото;LNZL;21004;-0,19;1,542;9384669000;21;0
Ленэнерго;LSNG;31;-0,25;2,447;8393603085,34;449400;0
М.Видео;MVID;19737;0;0,638;67197363252,6;63170;0
МГТС;MGTS;12984;0,64;4,851;67672729599;430;17
МКБ;CBOM;420694;-0,02;0,589;104306572694,69;4679100;0
ММК;MAGN;16782;-0,04;2,071;412165162050;15706000;6,3
МОЭСК;MSRS;16917;-0,04;1,76;48658384482,43;1888000;3,6
МРСК Центра;MRKC;20235;0,12;2,896;16528324084,72;13900000;4,5
МТС;MTSS;15523;-0,03;1,945;552452586408,75;4143750;0
Магнит;MGNT;17086;-0,22;1,706;886796387190;59976;3,1
МегаФон;MFON;152516;0,02;1,344;394816000000;203490;10,9
Мегион;MFGS;30;0,11;3,164;59585348295;30;0
Мечел;MTLR;21018;-0,17;3,088;63589519006,2;621823;0
Московская Биржа;MOEX;152798;-0,2;1,932;256916264585,75;7302950;7,5
МосОблБанк;MOBB;82890;-0,19;2,627;22449760877,76;142000;0
МосЭнерго;MSNG;6;-0,05;2,368;96352447912,8;22738000;3
Мостотрест;MSTT;74549;0,17;1,637;29689070600;53720;9,8
НКНХ;NKNC;20100;-0,36;1,763;86363321600;7100;0
НКХП;NKHP;450432;-0,2;1,948;11559087000;2460;0
НЛМК;NLMK;17046;-0,05;1,705;673339080414;7786440;8,5
НМТП;NMTP;19629;0,07;1,884;116618182247;1914000;18,8
