Polymetal;POLY;175924;-0,02;2,282;299358412056;53283;0
iНПОНаука;NAUK;81992;-0,22;4,364;2499374000;40;0
АВТОВАЗ;AVAZ;39;-0,05;1,766;45615435338,7;271900;0
АЛРОСА;ALRS;81820;0,03;1,888;676766691740,7;9968400;10,1
АФК Система;AFKS;19715;-0,17;3,744;219103250000;79149500;6
АбрауДюрсо;ABRD;82460;0,42;3,047;13965026220;0;0
Авангард;AVAN;82843;0,84;10,105;37686900000;0;0
Акрон;AKRN;17564;-0,06;1,263;132546180000;6409;8,3
Аптеки 36 и 6;APTK;13855;-0,31;1,841;19693969228,7;750700;0
Аэрофлот;AFLT;29;0,29;2,073;187971808605,75;3282200;9,4
Банк Возрождение;VZRZ;17068;0,03;0,689;17538410519;51;1
Банк Санкт-Петербург;BSPB;20066;0,03;1,842;26834771700;43280;1,7
Башнефть;BANE;81757;-0,09;2,611;535204290180;7563;0
ВСМПО-АВИСМА;VSMO;15965;0,05;1,355;160491168960;624;14,7
ВТБ;VTBR;19043;-0,05;1,221;860191128559,12;10719890000;1,8
Варьеган;VJGZ;81954;0,26;4,527;11505945960;0;0
ГАЗПРОМ;GAZP;16842;-0,07;1,282;3026658624265;38326830;6,7
ГМК Норникель;GMKN;795;-0,12;1,385;1406960527116;233230;5,7
Газпромнефть;SIBN;2;0,06;1,299;965565671482,35;374270;5,4
Галс-Девел;HALS;17698;-0,12;3,236;13236170920;1;0
Группа ПИК;PIKK;18654;0,02;1,267;192072627635,2;180710;0
Детский Мир;DSKY;473181;0,2;1,822;64869420000;218620;3,6
Дикси;DIXY;18564;-0,25;1,428;30177025000;10650;0
Дорогобуж;DGBZ;17919;-0,03;1,299;31603357286;477600;7,4
Европлан;EPLN;451471;0,08;0,814;83951618832;19880;0
ИнтерРАО;IRAO;20516;0,14;2,036;423237600000;55837000;0
Иркутскэнерго;IRGZ;9;0,01;1,831;87041908602;342100;0
КАМАЗ;KMAZ;15544;0,1;1,676;40983952944,05;11100;0,8
Казаньоргсинтез;KZOS;81856;0,29;1,798;102465543600;20400;7,6
КоршГОК;KOGK;20710;0,74;5,76;21410785600;7;0
Кубаньэнерго;KUBE;522;0,02;2,238;26052154773;790;0
Куйбазот;KAZT;81941;-0,01;1,892;20534779512,3;0;0
ЛСР Группа;LSRG;19736;0,01;1,226;95869615057,5;20829;8,7
ЛУКОЙЛ;LKOH;8;-0,06;1,392;2540207161057,5;919258;7,1
Лензолото;LNZL;21004;-0,23;1,347;9384669000;21;0
Ленэнерго;LSNG;31;-0,14;2,295;8393603085,34;449400;0
М.Видео;MVID;19737;0,08;1,299;67197363252,6;63170;0
МГТС;MGTS;12984;0,51;3,984;67672729599;430;17
МКБ;CBOM;420694;-0,01;0,619;104306572694,69;4679100;0
ММК;MAGN;16782;0,06;2,022;412165162050;15706000;6,3
МОЭСК;MSRS;16917;-0,04;1,915;48658384482,43;1888000;3,6
МРСК Центра;MRKC;20235;0,32;2,801;16528324084,72;13900000;4,5
МТС;MTSS;15523;0,06;1,752;552452586408,75;4143750;0
Магнит;MGNT;17086;-0,09;1,671;886796387190;59976;3,1
МегаФон;MFON;152516;0;1,43;394816000000;203490;10,9
Мегион;MFGS;30;0,1;2,913;59585348295;30;0
Мечел;MTLR;21018;0,37;4,185;63589519006,2;621823;0
Московская Биржа;MOEX;152798;-0,12;1,972;256916264585,75;7302950;7,5
МосОблБанк;MOBB;82890;-0,19;2,376;22449760877,76;142000;0
МосЭнерго;MSNG;6;0,21;2,96;96352447912,8;22738000;3
Мостотрест;MSTT;74549;0,17;1,491;29689070600;53720;9,8
НКНХ;NKNC;20100;-0,14;2,19;86363321600;7100;0
НКХП;NKHP;450432;-0,23;1,775;11559087000;2460;0
НЛМК;NLMK;17046;0,17;1,992;673339080414;7786440;8,5
НМТП;NMTP;19629;0,18;2,028;116618182247;1914000;18,8
Новатэк;NVTK;17370;-0,04;1,467;2148793756200;1114770;2,3
ОАК;UNAC;22843;0,19;2,85;283597530130,34;9310000;0
ОВК;UWGN;414560;0;0,827;90966006296;31725;0
ОГК-2;OGKB;18684;0,11;2,704;50272816428,02;86012000;0
ОКС;UCSS;175781;0,03;0,651;25972147320;15;0
Отисифарм;OTCP;407627;-0,1;1,66;26103380394;2670;0
Открытие;OFCB;80728;0,09;1,106;323731831668;3034;0
ПРОТЕК;PRTK;35247;0,08;1,575;54611999985,2;19600;7,4
Полюс золото;PLZL;17123;-0,01;0,796;845624685692;4121;0
Промсвязьбанк;PSBR;152320;0,05;0,7;83058556410,46;6790000;0
РБК;RBCM;74779;0,17;4,138;2418649131,15;657000;0
РГС СК;RGSS;181934;0,04;1,239;241541945276,32;18691000;0
Распадская;RASP;17713;0,08;3,048;49392166886,08;7168530;0
Росбанк;ROSB;16866;0,06;2,595;98514017665,5;810;0
Роснефть;ROSN;17273;-0,07;1,597;3439108701616,5;6306270;2
Россети;RSTI;20971;-0,07;2,865;186548592765,12;414743000;0,8
Ростелеком;RTKM;7;-0,06;1,041;197161238027,78;4289160;7,6
РусГидро;HYDR;20266;0,06;2,32;365204542053,5;877421000;0
Русал;RUAL;414279;0,14;2,358;447586217834,52;836800;3,9
Русполимет;RUSP;20712;0,02;4,815;2436311069,64;1270000;0
РуссНефть;RNFT;465236;0,06;0,415;165060144000;36374;0
СОЛЛЕРС;SVAV;16080;-0,01;1,886;20048043015;6160;0
Сбербанк;SBER;3;0,04;1,576;3476146236440;65420920;3,8
Северсталь;CHMF;16136;-0,02;1,735;682154304838;539320;11,3
Славнефть-ЯНОС;JNOS;15722;-0,05;3,595;24528819214,9;0;0
Сургутнефтегаз;SNGS;4;-0,06;1,668;1041770005597,8;43044400;2,3
ТГК-1;TGKA;18382;0,29;3,273;57583860763,57;1454700000;2,9
ТМК;TRMK;18441;0,18;1,488;76503673852,3;839450;2,4
ТНСэнрг;TNSE;420644;-0,06;1,781;20570699695;2621;0
Татнефть;TATN;825;0,13;2,17;765374042910;2036330;6
ТрансКонтейнер;TRCN;74561;-0,07;1,415;47936984100;42;1,5
Транснефть (ап);TRNFP;1012;0,14;2,646;270237275000;4238;0
Уралкалий;URKA;19623;-0,19;1,068;478130187849,35;222680;0
ФГ БУДУЩЕЕ;FTRE;462599;0,03;0,443;61635600315;2436;0
ФСК ЕЭС;FEES;20509;-0,01;2,967;231797888999,01;3596250000;8,7
ФосАгро;PHOR;81114;-0,03;1,561;309893500000;81825;9,5
Энел Россия;ENRU;16440;0,16;2,026;36468427219,47;16261000;6,3
ЧМК;CHMK;21001;0,16;3,98;13928455825;180;0
ЧТПЗ;CHEP;20999;0,57;5,171;62449016736;900;7,9
ЧЦЗ;CHZN;19960;-0,1;2,073;29373912220;0;0
Черкизово;GCHE;20125;0,31;2,422;37325243277;913;1,1
ЮТэйр;UTAR;15522;-0,05;1,455;36762925440;17300;0
ЮжКузб;UKUZ;20717;0,01;3,113;29790104025;59;0
Юнипро;UPRO;18584;-0,04;1,397;170672847534,52;21443000;0
Яндекс;YNDX;388383;0,07;2,01;353708602579;62833;0
