Polymetal;POLY;175924;-0,09;2,295;299358412056;53283;0
iНПОНаука;NAUK;81992;-0,21;4,34;2499374000;40;0
АВТОВАЗ;AVAZ;39;0,05;1,815;45615435338,7;271900;0
АЛРОСА;ALRS;81820;0,08;1,885;676766691740,7;9968400;10,1
АФК Система;AFKS;19715;-0,18;3,577;219103250000;79149500;6
АбрауДюрсо;ABRD;82460;0,35;2,9;13965026220;0;0
Авангард;AVAN;82843;0,81;11,783;37686900000;0;0
Акрон;AKRN;17564;-0,1;1,299;132546180000;6409;8,3
Аптеки 36 и 6;APTK;13855;-0,34;1,785;19693969228,7;750700;0
Аэрофлот;AFLT;29;0,33;2,035;187971808605,75;3282200;9,4
Банк Возрождение;VZRZ;17068;0,05;0,692;17538410519;51;1
Банк Санкт-Петербург;BSPB;20066;0,06;1,803;26834771700;43280;1,7
Башнефть;BANE;81757;-0,08;2,546;535204290180;7563;0
ВСМПО-АВИСМА;VSMO;15965;0,03;1,476;160491168960;624;14,7
ВТБ;VTBR;19043;-0,06;1,207;860191128559,12;10719890000;1,8
Варьеган;VJGZ;81954;0,2;4,454;11505945960;0;0
ГАЗПРОМ;GAZP;16842;-0,06;1,274;3026658624265;38326830;6,7
ГМК Норникель;GMKN;795;-0,11;1,375;1406960527116;233230;5,7
Газпромнефть;SIBN;2;0,08;1,252;965565671482,35;374270;5,4
Галс-Девел;HALS;17698;-0,13;3,077;13236170920;1;0
Группа ПИК;PIKK;18654;0,05;1,231;192072627635,2;180710;0
Детский Мир;DSKY;473181;0,2;1,822;64869420000;218620;3,6
Дикси;DIXY;18564;-0,24;1,438;30177025000;10650;0
Дорогобуж;DGBZ;17919;-0,06;1,325;31603357286;477600;7,4
Европлан;EPLN;451471;0,1;0,797;83951618832;19880;0
ИнтерРАО;IRAO;20516;0,17;2,008;423237600000;55837000;0
Иркутскэнерго;IRGZ;9;0,11;2,188;87041908602;342100;0
КАМАЗ;KMAZ;15544;0,22;2,06;40983952944,05;11100;0,8
Казаньоргсинтез;KZOS;81856;0,27;1,746;102465543600;20400;7,6
КоршГОК;KOGK;20710;0,87;6,155;21410785600;7;0
Кубаньэнерго;KUBE;522;0;2,143;26052154773;790;0
Куйбазот;KAZT;81941;-0,02;1,839;20534779512,3;0;0
ЛСР Группа;LSRG;19736;0;1,168;95869615057,5;20829;8,7
ЛУКОЙЛ;LKOH;8;-0,05;1,361;2540207161057,5;919258;7,1
Лензолото;LNZL;21004;-0,2;1,421;9384669000;21;0
Ленэнерго;LSNG;31;-0,11;2,208;8393603085,34;449400;0
М.Видео;MVID;19737;0,05;1,374;67197363252,6;63170;0
МГТС;MGTS;12984;0,41;3,839;67672729599;430;17
МКБ;CBOM;420694;0;0,632;104306572694,69;4679100;0
ММК;MAGN;16782;0,02;2,038;412165162050;15706000;6,3
МОЭСК;MSRS;16917;-0,02;1,882;48658384482,43;1888000;3,6
МРСК Центра;MRKC;20235;0,26;2,684;16528324084,72;13900000;4,5
МТС;MTSS;15523;0,04;1,691;552452586408,75;4143750;0
Магнит;MGNT;17086;-0,09;1,645;886796387190;59976;3,1
МегаФон;MFON;152516;-0,06;1,418;394816000000;203490;10,9
Мегион;MFGS;30;0,05;2,882;59585348295;30;0
Мечел;MTLR;21018;0,47;4,184;63589519006,2;621823;0
Московская Биржа;MOEX;152798;-0,11;1,947;256916264585,75;7302950;7,5
МосОблБанк;MOBB;82890;-0,11;2,518;22449760877,76;142000;0
МосЭнерго;MSNG;6;0,2;2,835;96352447912,8;22738000;3
Мостотрест;MSTT;74549;0,14;1,462;29689070600;53720;9,8
НКНХ;NKNC;20100;-0,09;2,135;86363321600;7100;0
НКХП;NKHP;450432;-0,22;1,708;11559087000;2460;0
НЛМК;NLMK;17046;0,11;1,999;673339080414;7786440;8,5
НМТП;NMTP;19629;0,2;2,089;116618182247;1914000;18,8
Новатэк;NVTK;17370;-0,04;1,448;2148793756200;1114770;2,3
ОАК;UNAC;22843;0,12;2,772;283597530130,34;9310000;0
ОВК;UWGN;414560;0,01;0,791;90966006296;31725;0
ОГК-2;OGKB;18684;0,06;2,659;50272816428,02;86012000;0
ОКС;UCSS;175781;0,02;0,668;25972147320;15;0
Отисифарм;OTCP;407627;-0,06;1,671;26103380394;2670;0
Открытие;OFCB;80728;0,09;1,05;323731831668;3034;0
ПРОТЕК;PRTK;35247;0,1;1,53;54611999985,2;19600;7,4
Полюс золото;PLZL;17123;-0,02;0,778;845624685692;4121;0
Промсвязьбанк;PSBR;152320;0,05;0,699;83058556410,46;6790000;0
РБК;RBCM;74779;0,11;3,969;2418649131,15;657000;0
РГС СК;RGSS;181934;0,05;1,206;241541945276,32;18691000;0
Распадская;RASP;17713;0,27;3,202;49392166886,08;7168530;0
Росбанк;ROSB;16866;0,06;2,517;98514017665,5;810;0
Роснефть;ROSN;17273;-0,07;1,567;3439108701616,5;6306270;2
Россети;RSTI;20971;-0,07;2,817;186548592765,12;414743000;0,8
Ростелеком;RTKM;7;-0,07;1,003;197161238027,78;4289160;7,6
РусГидро;HYDR;20266;0,05;2,299;365204542053,5;877421000;0
Русал;RUAL;414279;0,08;2,309;447586217834,52;836800;3,9
