Polymetal;POLY;175924;-0,05;2,271;299358412056;58038;0
iНПОНаука;NAUK;81992;0,28;4,926;2499374000;150;0
АВТОВАЗ;AVAZ;39;0,13;1,826;45615435338,7;286800;0
АЛРОСА;ALRS;81820;0,13;1,784;676766691740,7;21992600;10,1
АФК Система;AFKS;19715;-0,17;3,227;219103250000;28125600;6,5
АбрауДюрсо;ABRD;82460;0,35;2,691;13965026220;100;0
Авангард;AVAN;82843;1,41;12,737;37686900000;0;0
Акрон;AKRN;17564;-0,06;1,326;132546180000;73937;8,4
Аптеки 36 и 6;APTK;13855;-0,28;1,747;19693969228,7;388940;0
Аэрофлот;AFLT;29;0,36;1,963;187971808605,75;4548000;9,3
Банк Возрождение;VZRZ;17068;0,07;0,709;17538410519;281;1
Банк Санкт-Петербург;BSPB;20066;0,09;1,812;26834771700;137140;1,7
Башнефть;BANE;81757;0,01;2,453;535204290180;1655;0
ВСМПО-АВИСМА;VSMO;15965;0,14;1,237;160491168960;376;13,4
ВТБ;VTBR;19043;0;1,199;860191128559,12;7957730000;1,8
Варьеган;VJGZ;81954;0,06;4,053;11505945960;0;0
ГАЗПРОМ;GAZP;16842;-0,06;1,225;3026658624265;55411890;6,8
ГМК Норникель;GMKN;795;-0,02;1,354;1406960527116;314631;5,7
Газпромнефть;SIBN;2;0,1;1,15;965565671482,35;154390;5,4
Галс-Девел;HALS;17698;-0,12;2,75;13236170920;0;0
Группа ПИК;PIKK;18654;0,09;1,184;192072627635,2;172840;0
Детский Мир;DSKY;473181;0,13;1,799;64869420000;1316730;3,7
Дикси;DIXY;18564;-0,11;1,383;30177025000;49650;0
Дорогобуж;DGBZ;17919;-0,07;1,259;31603357286;205900;7,2
Европлан;EPLN;451471;0,09;0,727;83951618832;91820;0
ИнтерРАО;IRAO;20516;0,23;1,956;423237600000;96118000;0
Иркутскэнерго;IRGZ;9;0,03;2,182;87041908602;459900;0
КАМАЗ;KMAZ;15544;0,2;1,903;40983952944,05;13300;0,8
Казаньоргсинтез;KZOS;81856;0,27;1,795;102465543600;6000;7,7
КоршГОК;KOGK;20710;0,89;5,915;21410785600;3;0
Кубаньэнерго;KUBE;522;0,05;2,06;26052154773;370;0
Куйбазот;KAZT;81941;-0,01;1,714;20534779512,3;500;0
ЛСР Группа;LSRG;19736;0,05;1,218;95869615057,5;4293;8,7
