Polymetal;POLY;175924;0,08;2,007;299358412056;53283;0
iНПОНаука;NAUK;81992;-0,27;5,099;2499374000;40;0
АВТОВАЗ;AVAZ;39;-0,29;1,067;45615435338,7;271900;0
АЛРОСА;ALRS;81820;-0,2;1,886;676766691740,7;9968400;10,1
АФК Система;AFKS;19715;-0,57;5,112;219103250000;79149500;6
АбрауДюрсо;ABRD;82460;0,59;3,747;13965026220;0;0
Авангард;AVAN;82843;0,17;9,383;37686900000;0;0
Акрон;AKRN;17564;-0,18;1;132546180000;6409;8,3
Аптеки 36 и 6;APTK;13855;-0,63;2,263;19693969228,7;750700;0
Аэрофлот;AFLT;29;0,07;2,131;187971808605,75;3282200;9,4
Банк Возрождение;VZRZ;17068;-0,06;0,651;17538410519;51;1
Банк Санкт-Петербург;BSPB;20066;-0,24;2,144;26834771700;43280;1,7
Башнефть;BANE;81757;-0,39;2,978;535204290180;7563;0
ВСМПО-АВИСМА;VSMO;15965;-0,01;1,746;160491168960;624;14,7
ВТБ;VTBR;19043;-0,07;1,023;860191128559,12;10719890000;1,8
Варьеган;VJGZ;81954;0,64;6,65;11505945960;0;0
ГАЗПРОМ;GAZP;16842;-0,27;1,27;3026658624265;38326830;6,7
ГМК Норникель;GMKN;795;-0,31;1,262;1406960527116;233230;5,7
Газпромнефть;SIBN;2;-0,21;1,366;965565671482,35;374270;5,4
Галс-Девел;HALS;17698;0;4,036;13236170920;1;0
Группа ПИК;PIKK;18654;0,09;1,458;192072627635,2;180710;0
Детский Мир;DSKY;473181;0,2;1,822;64869420000;218620;3,6
Дикси;DIXY;18564;-0,22;1,419;30177025000;10650;0
Дорогобуж;DGBZ;17919;-0,09;1,527;31603357286;477600;7,4
Европлан;EPLN;451471;0,06;0,951;83951618832;19880;0
ИнтерРАО;IRAO;20516;0;2,227;423237600000;55837000;0
Иркутскэнерго;IRGZ;9;0,16;2,147;87041908602;342100;0
КАМАЗ;KMAZ;15544;-0,01;1,457;40983952944,05;11100;0,8
Казаньоргсинтез;KZOS;81856;0,49;2,299;102465543600;20400;7,6
КоршГОК;KOGK;20710;0,77;7,109;21410785600;7;0
Кубаньэнерго;KUBE;522;-0,22;2,027;26052154773;790;0
Куйбазот;KAZT;81941;-0,14;2,196;20534779512,3;0;0
ЛСР Группа;LSRG;19736;-0,14;1,187;95869615057,5;20829;8,7
ЛУКОЙЛ;LKOH;8;-0,25;1,354;2540207161057,5;919258;7,1
Лензолото;LNZL;21004;-0,36;1,44;9384669000;21;0
Ленэнерго;LSNG;31;-0,34;2,722;8393603085,34;449400;0
М.Видео;MVID;19737;0,05;0,579;67197363252,6;63170;0
МГТС;MGTS;12984;0,77;5,355;67672729599;430;17
МКБ;CBOM;420694;-0,01;0,596;104306572694,69;4679100;0
ММК;MAGN;16782;-0,38;2,066;412165162050;15706000;6,3
МОЭСК;MSRS;16917;-0,23;1,776;48658384482,43;1888000;3,6
МРСК Центра;MRKC;20235;0,16;2,992;16528324084,72;13900000;4,5
МТС;MTSS;15523;-0,1;2,086;552452586408,75;4143750;0
Магнит;MGNT;17086;-0,08;1,635;886796387190;59976;3,1
МегаФон;MFON;152516;-0,07;1,368;394816000000;203490;10,9
Мегион;MFGS;30;0,12;3,287;59585348295;30;0
Мечел;MTLR;21018;-0,23;3,368;63589519006,2;621823;0
Московская Биржа;MOEX;152798;-0,34;1,97;256916264585,75;7302950;7,5
МосОблБанк;MOBB;82890;-0,15;2,933;22449760877,76;142000;0
МосЭнерго;MSNG;6;-0,24;2,398;96352447912,8;22738000;3
Мостотрест;MSTT;74549;0,16;1,804;29689070600;53720;9,8
НКНХ;NKNC;20100;-0,44;1,963;86363321600;7100;0
НКХП;NKHP;450432;-0,19;2,129;11559087000;2460;0
НЛМК;NLMK;17046;-0,1;1,725;673339080414;7786440;8,5
НМТП;NMTP;19629;-0,03;2,052;116618182247;1914000;18,8
Новатэк;NVTK;17370;-0,26;1,4;2148793756200;1114770;2,3
ОАК;UNAC;22843;0,04;2,823;283597530130,34;9310000;0
ОВК;UWGN;414560;-0,04;1,096;90966006296;31725;0
ОГК-2;OGKB;18684;-0,44;2,77;50272816428,02;86012000;0
ОКС;UCSS;175781;0,02;0,396;25972147320;15;0
Отисифарм;OTCP;407627;-0,18;1,504;26103380394;2670;0
Открытие;OFCB;80728;0,18;1,28;323731831668;3034;0
ПРОТЕК;PRTK;35247;-0,15;1,393;54611999985,2;19600;7,4
