Polymetal;POLY;175924;0,02;2,221;299358412056;53283;0
iНПОНаука;NAUK;81992;-0,09;4,453;2499374000;40;0
АВТОВАЗ;AVAZ;39;-0,01;1,701;45615435338,7;271900;0
АЛРОСА;ALRS;81820;0,05;1,902;676766691740,7;9968400;10,1
АФК Система;AFKS;19715;-0,17;3,988;219103250000;79149500;6
АбрауДюрсо;ABRD;82460;0,54;3,25;13965026220;0;0
Авангард;AVAN;82843;0,95;10,208;37686900000;0;0
Акрон;AKRN;17564;0;1,241;132546180000;6409;8,3
Аптеки 36 и 6;APTK;13855;-0,38;1,866;19693969228,7;750700;0
Аэрофлот;AFLT;29;0,26;2,037;187971808605,75;3282200;9,4
Банк Возрождение;VZRZ;17068;0,04;0,686;17538410519;51;1
Банк Санкт-Петербург;BSPB;20066;0,06;1,968;26834771700;43280;1,7
Башнефть;BANE;81757;-0,12;2,478;535204290180;7563;0
ВСМПО-АВИСМА;VSMO;15965;0,09;1,418;160491168960;624;14,7
ВТБ;VTBR;19043;-0,02;1,235;860191128559,12;10719890000;1,8
Варьеган;VJGZ;81954;0,38;4,952;11505945960;0;0
ГАЗПРОМ;GAZP;16842;-0,1;1,318;3026658624265;38326830;6,7
ГМК Норникель;GMKN;795;-0,1;1,448;1406960527116;233230;5,7
Газпромнефть;SIBN;2;0,05;1,377;965565671482,35;374270;5,4
Галс-Девел;HALS;17698;-0,05;3,413;13236170920;1;0
Группа ПИК;PIKK;18654;0,06;1,315;192072627635,2;180710;0
Детский Мир;DSKY;473181;0,2;1,822;64869420000;218620;3,6
Дикси;DIXY;18564;-0,21;1,465;30177025000;10650;0
Дорогобуж;DGBZ;17919;-0,02;1,299;31603357286;477600;7,4
Европлан;EPLN;451471;0,03;0,782;83951618832;19880;0
ИнтерРАО;IRAO;20516;0,12;2,121;423237600000;55837000;0
Иркутскэнерго;IRGZ;9;0,08;1,854;87041908602;342100;0
КАМАЗ;KMAZ;15544;0,14;1,718;40983952944,05;11100;0,8
Казаньоргсинтез;KZOS;81856;0,34;1,879;102465543600;20400;7,6
КоршГОК;KOGK;20710;0,48;6,116;21410785600;7;0
Кубаньэнерго;KUBE;522;0,04;2,372;26052154773;790;0
Куйбазот;KAZT;81941;-0,05;1,901;20534779512,3;0;0
